Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C14, C2",0805,4,22uF/25V,C45783
"C10, C15, C3, C9",0603,4,22uF/6.3V,C59461
"C12, C16, C4, C7",0402,4,100nF,C1525
"C5, C6",0603,2,1uF,C15849
C8,0402,1,47pF,C1567
"D1, D3",D_SMA,2,SS54,C22452
D2,D_SMA,1,SMAJ24A,C3001960
"D4, D6, D8, D9",0603,4,Red,C2286
D5,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,C965555
D7,D_SOD-123,1,10V,C173431
F1,2920,1,Polyfuse 5A,C20539728
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J3,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,1,VOLTLINK,C5120200
L1,L_Changjiang_FNR4018S,1,10uH,C167808
MK1,InvenSense_ICS-43434-6_3.5x2.65mm,1,ICS-43434,C5656610
Q1,DFN-8-1EP_3x3mm_P0.65mm_EP1.5x2.25mm,1,AONR21357-ES,C22379638
Q2,SOT-23,1,MMBT3904,C20526
"R1, R10, R11, R13, R2, R4, R7, R9",0402,8,10k,C25744
"R12, R3",0402,2,1k,C11702
"R14, R15, R16, R17",0603,4,100R,C22775
"R5, R8",0402,2,100K,C25741
R6,0402,1,22K,C25768
SW1,SW_Push_SPST_NO_Alps_SKRK,1,Reset,
SW2,SW_Push_SPST_NO_Alps_SKRK,1,Boot,
SW3,SW_SP3T_PCM13,1,SW_SP3T,C2858293
U1,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH224K,C970725
U2,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02U-N8R2,C2980306
U3,Everlight_IRM-H6xxT,1,IRM-H638T/TR2,C91447
U4,SOT-23-6,1,TPS54202DDC,C191884
U5,SOT-23,1,HE2021A50HMR,C711948
"U6, U7",SOT-363_SC-70-6,2,74LVC2G34,C14461
