Designator,Mid X,Mid Y,Rotation,Layer
C1,125.7,-96.7,270.0,top
C10,129.0,-90.2,270.0,top
C11,127.7,-94.1,90.0,top
C12,128.5,-85.6,180.0,top
C14,129.7,-97.7,270.0,top
C15,134.4,-89.1,0.0,top
C16,133.9,-87.9,0.0,top
C2,123.6,-96.7,270.0,top
C3,121.0,-73.3,90.0,top
C4,119.7,-73.82,90.0,top
C5,121.0,-78.3,90.0,top
C6,114.371877,-73.415685,270.0,top
C7,131.4,-91.9,180.0,top
C8,131.4,-88.9,0.0,top
C9,127.5,-90.2,270.0,top
D1,115.8,-88.5,180.0,top
D2,121.1,-86.7,90.0,top
D3,115.802403,-84.96682,180.0,top
D4,112.2,-80.3,0.0,top
D5,117.2,-73.4,0.0,top
D6,128.5,-87.6,180.0,top
D7,135.3,-97.0,0.0,top
D8,101.6,-83.9,0.0,top
D9,142.6,-67.9,270.0,top
F1,116.9,-93.3,0.0,top
J2,102.255,-77.41,270.0,top
J3,138.25,-70.9,90.0,top
L1,124.4,-92.6,90.0,top
MK1,125.3,-85.1,270.0,top
Q1,138.9,-93.9,270.0,top
Q2,140.6,-97.7,270.0,top
R1,121.1,-80.8,90.0,top
R10,127.99,-84.1,90.0,top
R11,129.0,-84.1,90.0,top
R12,138.2,-96.7,90.0,top
R13,138.2,-98.69204,90.0,top
R14,140.4,-77.3,90.0,top
R15,139.7,-82.6,180.0,top
R16,140.4,-80.3,90.0,top
R17,136.7,-83.4,90.0,top
R2,109.7,-80.1,0.0,top
R3,114.2,-78.5,90.0,top
R4,126.4,-87.7,90.0,top
R5,131.4,-89.9,0.0,top
R6,131.4,-90.9,180.0,top
R7,106.9,-83.99,90.0,top
R8,136.7,-98.7,180.0,top
R9,142.6,-70.5,90.0,top
SW1,110.8,-98.3,0.0,top
SW2,119.6,-98.2,180.0,top
SW3,111.3,-69.475,180.0,top
U1,110.9,-75.7,180.0,top
U2,128.575,-77.2,0.0,top
U3,117.497755,-79.042589,90.0,top
U4,130.8,-94.1,180.0,top
U5,134.6,-91.8,90.0,top
U6,137.9,-77.3,180.0,top
U7,137.5,-80.4,180.0,top
